State,Favorite_Food
Alabama,Pecans
Alaska,Salmon
Arizona,Chimichangas
Arkansas,Tomatoes
California,Avocado
Colorado,Steak
Connecticut,White clam pizza
Delaware,Blue Hen Chicken
Florida,Oranges
Georgia,Peaches
Hawaii,Pineapple
Idaho,Potatoes
Illinois,Deep-dish Pizza
Indiana,Sugar Cream Pie
Iowa,Corn
Kansas,BBQ
Kentucky,Blackberries
Louisiana,Gumbo
Maine,Lobster
Maryland,Blue Crab
Massachusetts,Clam Chowder
Michigan,Cherries
Minnesota,Wild Rice
Mississippi,Biscuits
Missouri,Ice Cream
Montana,Huckleberries
Nebraska,Popcorn
Nevada,Chateaubriand
New Hampshire,Lobster Rolls
New Jersey,Blueberries
New Mexico,Chiles
New York,Cheesecake
North Carolina,Strawberries
North Dakota,Chokecherry
Ohio,Pawpaw
Oklahoma,Watermelon
Oregon,Pears
Pennsylvania,Cheesesteaks
Rhode Island,Frozen Lemonade
South Carolina,Boiled peanuts
South Dakota,Kuchen
Tennessee,Hot Chicken
Texas,Texas Toast
Utah,Jell-o
Vermont,Maple syrup
Virginia,Ham
Washington,Coffee
West Virginia,Apples
Wisconsin,Cheese
Wyoming,Soda bread
